Adipose	Adrenal gland	Arteries	Bladder	Brain	Breast	Colon	Esophagus	FemaleReproductive	Fibroblasts	Heart	Kidney	Liver	Lung	Lymphocytes	MuscleSkeletal	NerveTibial	Pancreas	Pituitary	Prostate	SalivaryGland	Skin	SmallIntestine	Spleen	Stomach	Testis	Thyroid	Whole blood	Average	Method	Matrix	NoiseLevel	Sample
4e-05	0.00153	2.98234	1.18082	3.2970999999999995	0.01037	0.00478	40.27398	6.88348	2.93129	0.00238	13.92134	2.0564000000000004	8.38526	7.55463	0.00083	15.06531	0.00064	0.38963	2.85007	0.93424	5.12888	0.00236	0.00286	0.00308	4.30393	6.62948	0.00077	4.457064999999999	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_809577_5
3e-05	0.0014	3.46065	0.00224	2.11393	0.20257	0.0042	8.309829999999998	1.01533	6.67759	0.1491	9.75053	20.47739	13.57624	1.97799	0.01374	7.06562	0.00039	0.39276	2.66106	0.36357	0.63698	0.0016	2.9708	0.00148	1.93958	2.6513	0.20761	3.093768214285714	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_589153_5
4e-05	0.00202	4.74038	0.00251	10.65618	0.02508	0.00588	0.15587	0.84946	3.96572	0.06002	16.47232	11.760179999999998	11.06071	0.99619	0.00356	10.75003	0.00035	3.34218	6.71905	0.16964	0.08915	0.0039	0.7893	0.00117	4.05513	4.44505	0.09443	3.2576964285714287	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_876136_4
3e-05	0.00109	3.91984	0.00359	0.09369	0.18641	0.00511	3.39493	1.789	6.4935	0.10944	29.98237	16.131320000000002	14.42393	1.80649	0.00953	8.87292	0.00083	0.28019	2.6857999999999995	0.3717	0.26195	0.00269	1.40203	0.00182	2.99858	9.04335	0.11674	3.728173928571428	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_324232_4
4e-05	0.00159	5.89829	0.00269	4.34207	0.03194	0.00776	10.37121	1.57151	5.10339	0.07888	0.02643	13.984009999999998	12.01389	1.79287	0.00297	9.3085	0.00032	0.58361	13.32554	0.48462	1.12357	0.00162	1.22983	0.00125	2.27316	0.34556	0.13861	3.001633214285715	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_943590_4
3e-05	0.00243	6.63319	0.01093	2.70772	0.00713	0.00509	5.37112	4.56413	3.36779	0.0041	41.44295	1.7227800000000002	9.50468	1.83741	0.00129	14.99078	0.00091	1.20151	11.12653	0.61132	0.89887	0.00229	0.0027	0.05253	5.42589	13.24494	0.00117	4.45507892857143	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_819011_5
2e-05	0.00278	7.9948	0.0457	3.90254	0.00676	0.01131	9.686139999999998	5.20298	2.7816	0.00106	16.60258	0.00989	8.40695	1.56426	0.00089	13.81194	0.00052	0.99612	21.54441	0.79593	1.57609	0.0022	0.00256	0.0506	4.06767	4.4018	0.00124	3.6954049999999996	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_907604_4
3e-05	0.00117	3.08518	1.4278	8.048789999999999	0.0127	0.00416	36.91017000000001	6.01476	2.41891	0.00198	5.43695	2.1943200000000003	7.74476	6.80703	0.00089	15.3219	0.00033	1.36181	4.90663	0.74839	4.62892	0.00199	0.00181	0.00155	4.59824	3.31141	0.00116	4.106919285714286	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_26990_5
7e-05	0.00165	4.15809	0.00318	0.07051	0.22188	0.00417	11.32397	2.12653	6.36143	0.1104	16.1676	16.47533	14.31167	2.6773	0.00856	8.31188	0.00038	0.14588	4.779020000000001	0.63614	1.05454	0.00334	1.4678	0.00137	2.35666	4.58713	0.12544	3.481854285714286	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_280766_4
7e-05	0.00112	2.76086	0.00768	3.5033900000000004	0.05135	0.0038	26.395390000000003	3.48681	5.01221	0.06197	12.55775	11.904230000000002	12.79502	5.86623	0.00241	11.55762	0.00043	0.53689	0.04911	0.69192	2.74304	0.00223	0.07536	0.00186	3.45359	5.15795	0.04131	3.8829142857142847	BayesPrism	2Median_300_500	0.1	T00_v2_FFPE-2_901300_4
