Sample	Method	RemovedGenes	Average_AE	Total_AE
TSP25_random_rep4_seed5_50_1000.h5ad	ReDeconv	0	1.238192753623188	85.43529999999997
TSP25_random_rep5_seed5_50_1000.h5ad	ReDeconv	0	1.247713768115942	86.09225
TSP27_random_rep1_seed4_10_200.h5ad	ReDeconv	0	0.9726026086956523	67.10958000000001
TSP27_random_rep2_seed4_10_200.h5ad	ReDeconv	0	1.1396479710144929	78.63571
TSP27_random_rep3_seed4_10_200.h5ad	ReDeconv	0	1.127141449275362	77.77275999999998
TSP27_random_rep4_seed4_10_200.h5ad	ReDeconv	0	1.1078676811594206	76.44287000000003
TSP27_random_rep5_seed4_10_200.h5ad	ReDeconv	0	1.2843927536231885	88.62310000000001
TSP27_random_rep1_seed13_10_200.h5ad	ReDeconv	0	1.1692044927536231	80.67511
TSP27_random_rep2_seed13_10_200.h5ad	ReDeconv	0	1.4300933333333334	98.67644000000001
TSP27_random_rep3_seed13_10_200.h5ad	ReDeconv	0	1.301443768115942	89.79962
TSP27_random_rep4_seed13_10_200.h5ad	ReDeconv	0	1.0040478260869563	69.27929999999998
TSP27_random_rep5_seed13_10_200.h5ad	ReDeconv	0	1.4170691304347829	97.77777000000002
TSP27_random_rep1_seed7_40_800.h5ad	ReDeconv	0	1.361031449275362	93.91116999999997
TSP27_random_rep2_seed7_40_800.h5ad	ReDeconv	0	1.2150469565217392	83.83824
TSP27_random_rep3_seed7_40_800.h5ad	ReDeconv	0	0.962798115942029	66.43307
TSP27_random_rep4_seed7_40_800.h5ad	ReDeconv	0	1.110866956521739	76.64981999999999
TSP27_random_rep5_seed7_40_800.h5ad	ReDeconv	0	1.0267894202898549	70.84846999999999
TSP21_random_rep1_seed12_50_1000.h5ad	ReDeconv	0	0.6227430434782609	42.96927
TSP21_random_rep2_seed12_50_1000.h5ad	ReDeconv	0	1.2620944927536228	87.08451999999997
TSP21_random_rep3_seed12_50_1000.h5ad	ReDeconv	0	1.2164479710144926	83.93490999999999
TSP21_random_rep4_seed12_50_1000.h5ad	ReDeconv	0	0.754628115942029	52.069340000000004
TSP21_random_rep5_seed12_50_1000.h5ad	ReDeconv	0	0.8267255072463768	57.04406
TSP21_random_rep1_seed9_20_400.h5ad	ReDeconv	0	1.249900579710145	86.24314000000001
TSP21_random_rep2_seed9_20_400.h5ad	ReDeconv	0	0.9489484057971015	65.47744
TSP21_random_rep3_seed9_20_400.h5ad	ReDeconv	0	0.9972842028985508	68.81261
TSP21_random_rep4_seed9_20_400.h5ad	ReDeconv	0	0.8566846376811592	59.11123999999999
TSP21_random_rep5_seed9_20_400.h5ad	ReDeconv	0	1.7939484057971018	123.78244000000002
TSP21_random_rep1_seed6_40_800.h5ad	ReDeconv	0	0.943537391304348	65.10408000000001
TSP21_random_rep2_seed6_40_800.h5ad	ReDeconv	0	1.2624281159420288	87.10753999999999
TSP21_random_rep3_seed6_40_800.h5ad	ReDeconv	0	0.8369250724637682	57.74783000000001
TSP21_random_rep4_seed6_40_800.h5ad	ReDeconv	0	1.0712378260869566	73.91541000000001
TSP21_random_rep5_seed6_40_800.h5ad	ReDeconv	0	1.233292173913043	85.09715999999996
TSP27_random_rep1_seed7_30_600.h5ad	ReDeconv	0	1.22401768115942	84.45721999999998
TSP27_random_rep2_seed7_30_600.h5ad	ReDeconv	0	1.9832552173913043	136.84461
TSP27_random_rep3_seed7_30_600.h5ad	ReDeconv	0	1.0927107246376815	75.39704000000002
TSP27_random_rep4_seed7_30_600.h5ad	ReDeconv	0	0.7717192753623189	53.248630000000006
TSP27_random_rep5_seed7_30_600.h5ad	ReDeconv	0	1.0812317391304347	74.60499
TSP27_random_rep1_seed13_30_600.h5ad	ReDeconv	0	1.2399271014492759	85.55497000000004
TSP27_random_rep2_seed13_30_600.h5ad	ReDeconv	0	0.8565281159420287	59.100439999999985
TSP27_random_rep3_seed13_30_600.h5ad	ReDeconv	0	1.3249801449275358	91.42362999999997
TSP27_random_rep4_seed13_30_600.h5ad	ReDeconv	0	1.218291884057971	84.06214
TSP27_random_rep5_seed13_30_600.h5ad	ReDeconv	0	1.3057552173913052	90.09711000000006
TSP27_random_rep1_seed5_30_600.h5ad	ReDeconv	0	1.3390566666666661	92.39490999999997
TSP27_random_rep2_seed5_30_600.h5ad	ReDeconv	0	1.0217910144927536	70.50358
TSP27_random_rep3_seed5_30_600.h5ad	ReDeconv	0	1.2208646376811598	84.23966000000003
TSP27_random_rep4_seed5_30_600.h5ad	ReDeconv	0	0.9683571014492754	66.81664
TSP27_random_rep5_seed5_30_600.h5ad	ReDeconv	0	1.3928027536231884	96.10339
TSP25_random_rep1_seed11_30_600.h5ad	ReDeconv	0	0.8821598550724637	60.86903
TSP25_random_rep2_seed11_30_600.h5ad	ReDeconv	0	1.4982985507246374	103.38259999999998
TSP25_random_rep3_seed11_30_600.h5ad	ReDeconv	0	1.296585072463768	89.46436999999999
TSP25_random_rep4_seed11_30_600.h5ad	ReDeconv	0	0.8904481159420289	61.44091999999999
TSP25_random_rep5_seed11_30_600.h5ad	ReDeconv	0	1.1958178260869563	82.51142999999999
TSP25_random_rep1_seed11_10_200.h5ad	ReDeconv	0	0.9345752173913044	64.48569
TSP25_random_rep2_seed11_10_200.h5ad	ReDeconv	0	1.432565942028986	98.84705000000004
TSP25_random_rep3_seed11_10_200.h5ad	ReDeconv	0	1.6786297101449275	115.82544999999999
TSP25_random_rep4_seed11_10_200.h5ad	ReDeconv	0	1.218176086956522	84.05415
TSP25_random_rep5_seed11_10_200.h5ad	ReDeconv	0	1.1412811594202892	78.74839999999996
TSP27_random_rep1_seed11_40_800.h5ad	ReDeconv	0	1.1416357971014497	78.77287000000003
TSP27_random_rep2_seed11_40_800.h5ad	ReDeconv	0	0.987064492753623	68.10744999999999
TSP27_random_rep3_seed11_40_800.h5ad	ReDeconv	0	1.034551884057971	71.38408
TSP27_random_rep4_seed11_40_800.h5ad	ReDeconv	0	1.033953043478261	71.34276
TSP27_random_rep5_seed11_40_800.h5ad	ReDeconv	0	1.4155189855072465	97.67081
TSP21_random_rep1_seed3_10_200.h5ad	ReDeconv	0	0.8402136231884058	57.97474
TSP21_random_rep2_seed3_10_200.h5ad	ReDeconv	0	1.1731500000000001	80.94735000000001
TSP21_random_rep3_seed3_10_200.h5ad	ReDeconv	0	0.45413115942028986	31.335050000000003
TSP21_random_rep4_seed3_10_200.h5ad	ReDeconv	0	1.1374811594202896	78.48619999999998
TSP21_random_rep5_seed3_10_200.h5ad	ReDeconv	0	0.8230836231884058	56.79277
TSP21_random_rep1_seed7_10_200.h5ad	ReDeconv	0	1.3490418840579712	93.08389000000001
TSP21_random_rep2_seed7_10_200.h5ad	ReDeconv	0	1.0040401449275365	69.27877000000001
TSP21_random_rep3_seed7_10_200.h5ad	ReDeconv	0	1.38151115942029	95.32427000000001
